"","USFWS","NOAA"
"1","Salvelinus confluentus","Eugenia bryanii"
"2","Schwalbea americana","Acropora globiceps"
"3","Lasthenia conjugens","Acropora retusa"
"4","Gopherus agassizii","Echinomastus erectocentrus var. acunensis"
"5","Aphelocoma coerulescens","Macrochelys temminckii"
"6","Gopherus polyphemus","Psychotria malaspinae"
"7","Eretmochelys imbricata","Acipenser oxyrinchus oxyrinchus"
"8","Myotis sodalis","Balaenoptera musculus"
"9","Dermochelys coriacea","Sebastes paucispinis"
"10","Brachyramphus marmoratus","Salvelinus confluentus"
"11","Strix occidentalis caurina","Glaucidium brasilianum cactorum"
"12","Etheostoma okaloosae","Ambystoma californiense"
"13","Sterna dougallii dougallii","Schwalbea americana"
"14","Phoebastria albatrus","Obovaria choctawensis"
"15","Isotria medeoloides","Lasthenia conjugens"
"16","Peromyscus polionotus niveiventris","Delphinapterus leucas"
"17","Empidonax traillii extimus","Gopherus agassizii"
"18","Peromyscus polionotus peninsularis","Cycas micronesica"
"19","Helonias bullata","Serianthes nelsonii"
"20","Desmocerus californicus dimorphus","Cladonia perforata"
"21","Branchinecta lynchi","Aphelocoma coerulescens"
"22","Trichechus manatus","Samoana fragilis"
"23","Mycteria americana","Pleurobema strodeanum"
"24","Enhydra lutris kenyoni","Gopherus polyphemus"
"25","Gomphus westfalli","Centrocercus urophasianus"
"26","Eriogonum soredium","Chelonia mydas"
"27","Pseudanophthalmus insularis","Partula radiolata"
"28","Drosophila hemipeza","Eretmochelys imbricata"
"29","Epioblasma capsaeformis","Oncorhynchus keta"
"30","Pleurobema strodeanum","Partula gibba"
"31","Schiedea kauaiensis","Myotis sodalis"
"32","Chorizanthe robusta var. hartwegii","Chelonia mydas"
"33","Drosophila differens","Orcinus orca"
"34","Drosophila ochrobasis","Rhynchospora knieskernii"
"35","Sceloporus arenicolus","Dermochelys coriacea"
"36","Drosophila musaphilia","Caretta caretta"
"37","Asplenium dielpallidum","Brachyramphus marmoratus"
"38","Festuca hawaiiensis","Gallinula chloropus guami"
"39","Diellia (=falcata)","Hypolimnas octocula marianensis"
"40","Polygonum hickmanii","Pteropus mariannus mariannus"
"41","Diplazium molokaiense","Megapodius laperouse"
"42","Pseudanophthalmus thomasi","Fusconaia escambia"
"43","Ursus maritimus","Myotis septentrionalis"
"44","Pyrgulopsis anguina","Enhydra lutris kenyoni"
"45","Sisyrinchium dichotomum","Strix occidentalis caurina"
"46","Charadrius montanus","Actinemys marmorata"
"47",NA,"Hedyotis megalantha"
"48",NA,"Oncorhynchus tshawytscha"
"49",NA,"Oncorhynchus mykiss"
"50",NA,"Ambystoma bishopi"
"51",NA,"Sterna dougallii dougallii"
"52",NA,"Calidris canutus rufa"
"53",NA,"Bombus affinis"
"54",NA,"Phyllanthus saffordii"
"55",NA,"Sphyrna lewini"
"56",NA,"Seriatopora aculeata"
"57",NA,"Nervilia jacksoniae"
"58",NA,"Acipenser brevirostrum"
"59",NA,"Phoebastria albatrus"
"60",NA,"Isotria medeoloides"
"61",NA,"Antilocapra americana sonoriensis"
"62",NA,"Peromyscus polionotus niveiventris"
"63",NA,"Hamiota australis"
"64",NA,"Empidonax traillii extimus"
"65",NA,"Peromyscus polionotus peninsularis"
"66",NA,"Helonias bullata"
"67",NA,"Tinospora homosepala"
"68",NA,"Perimyotis subflavus"
"69",NA,"Heritiera longipetiolata"
"70",NA,"Desmocerus californicus dimorphus"
"71",NA,"Branchinecta lynchi"
"72",NA,"Lepidurus packardi"
"73",NA,"Trichechus manatus"
"74",NA,"Spea hammondii"
"75",NA,"Mycteria americana"
"76",NA,"Sebastes ruberrimus"
"77",NA,"Epinephelus striatus"
"78",NA,NA
"79",NA,NA
"80",NA,NA
"81",NA,NA
"82",NA,NA
"83",NA,NA
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96",NA,NA
"97",NA,NA
"98",NA,NA
"99",NA,NA
"100",NA,NA
"101",NA,NA
"102",NA,NA
"103",NA,NA
"104",NA,NA
"105",NA,NA
"106",NA,NA
"107",NA,NA
"108",NA,NA
"109",NA,NA
"110",NA,NA
"111",NA,NA
"112",NA,NA
"113",NA,NA
"114",NA,NA
"115",NA,NA
"116",NA,NA
"117",NA,NA
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",NA,NA
"122",NA,NA
"123",NA,NA
"124",NA,NA
"125",NA,NA
"126",NA,NA
"127",NA,NA
"128",NA,NA
"129",NA,NA
"130",NA,NA
"131",NA,NA
"132",NA,NA
"133",NA,NA
"134",NA,NA
"135",NA,NA
"136",NA,NA
"137",NA,NA
"138",NA,NA
"139",NA,NA
"140",NA,NA
"141",NA,NA
"142",NA,NA
"143",NA,NA
"144",NA,NA
"145",NA,NA
"146",NA,NA
"147",NA,NA
"148",NA,NA
"149",NA,NA
"150",NA,NA
"151",NA,NA
"152",NA,NA
"153",NA,NA
"154",NA,NA
"155",NA,NA
"156",NA,NA
"157",NA,NA
"158",NA,NA
"159",NA,NA
"160",NA,NA
"161",NA,NA
"162",NA,NA
"163",NA,NA
"164",NA,NA
"165",NA,NA
"166",NA,NA
"167",NA,NA
"168",NA,NA
"169",NA,NA
"170",NA,NA
"171",NA,NA
"172",NA,NA
"173",NA,NA
"174",NA,NA
"175",NA,NA
"176",NA,NA
"177",NA,NA
"178",NA,NA
"179",NA,NA
"180",NA,NA
"181",NA,NA
"182",NA,NA
"183",NA,NA
"184",NA,NA
"185",NA,NA
"186",NA,NA
"187",NA,NA
"188",NA,NA
"189",NA,NA
"190",NA,NA
"191",NA,NA
"192",NA,NA
"193",NA,NA
"194",NA,NA
"195",NA,NA
"196",NA,NA
"197",NA,NA
"198",NA,NA
"199",NA,NA
"200",NA,NA
"201",NA,NA
"202",NA,NA
"203",NA,NA
"204",NA,NA
