RANGE_NOTE,RANGE_ID,ENTITY_ID,SPCODE,VIPCODE,COMNAME,SCINAME,POP_ABBREV,STATUS_ABB,FAMILY
This range has been defined at a scale of finer resolution than ""statewide"",74039.000000000000000,1147.000000000000000,Q38U,P01,No common name,Schiedea kauaiensis,Wherever found,Endangered,Caryophyllaceae
This range has been defined at a scale of finer resolution than ""statewide"",74040.000000000000000,1148.000000000000000,Q38V,P01,No common name,Schiedea nuttallii,Wherever found,Endangered,Caryophyllaceae
This range has been defined at a scale of finer resolution than ""statewide"",74041.000000000000000,1149.000000000000000,Q38X,P01,Clay reed-mustard,Schoenocrambe argillacea,Wherever found,Threatened,Brassicaceae
This range has been defined at a scale of finer resolution than ""statewide"",74042.000000000000000,1150.000000000000000,Q392,P01,Leedy's roseroot,Rhodiola integrifolia ssp. leedyi,Wherever found,Threatened,Crassulaceae
This range has been defined at a scale of finer resolution than ""statewide"",74043.000000000000000,1151.000000000000000,Q393,P01,`Anunu,Sicyos albus,Wherever found,Endangered,Cucurbitaceae
This range has been defined at a scale of finer resolution than ""statewide"",74044.000000000000000,1152.000000000000000,Q39A,P01,No common name,Silene perlmanii,Wherever found,Endangered,Caryophyllaceae
This range has been defined at a scale of finer resolution than ""statewide"",74045.000000000000000,1153.000000000000000,Q39D,P01,White irisette,Sisyrinchium dichotomum,Wherever found,Endangered,Iridaceae
This range has been defined at a scale of finer resolution than ""statewide"",74046.000000000000000,1154.000000000000000,Q39H,P01,No common name,Spermolepis hawaiiensis,Wherever found,Endangered,Apiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74047.000000000000000,1155.000000000000000,Q39K,P01,No common name,Stenogyne bifida,Wherever found,Endangered,Lamiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74048.000000000000000,1156.000000000000000,Q39L,P01,No common name,Stenogyne campanulata,Wherever found,Endangered,Lamiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74049.000000000000000,1157.000000000000000,Q3A0,P01,No common name,Trematolobelia singularis,Wherever found,Endangered,Campanulaceae
This range has been defined at a scale of finer resolution than ""statewide"",74050.000000000000000,1158.000000000000000,Q3A6,P01,No common name,Vernonia proctorii,Wherever found,Endangered,Asteraceae
This range has been defined at a scale of finer resolution than ""statewide"",74051.000000000000000,1159.000000000000000,Q3A7,P01,A`e,Zanthoxylum dipetalum var. tomentosum,Wherever found,Endangered,Rutaceae
This range has been defined at a scale of finer resolution than ""statewide"",74052.000000000000000,1160.000000000000000,Q3A8,P01,No common name,Cranichis ricartii,Wherever found,Endangered,Orchidaceae
This range has been defined at a scale of finer resolution than ""statewide"",74054.000000000000000,1162.000000000000000,Q3AB,P01,No common name,Ilex sintenisii,Wherever found,Endangered,Aquifoliaceae
This range has been defined at a scale of finer resolution than ""statewide"",74055.000000000000000,1163.000000000000000,Q3AE,P01,No common name,Phyllostegia mannii,Wherever found,Endangered,Lamiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74056.000000000000000,1164.000000000000000,Q3AF,P01,California seablite,Suaeda californica, ,Endangered,Chenopodiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74057.000000000000000,1165.000000000000000,Q3AG,P01,Etonia rosemary,Conradina etonia, ,Endangered,Lamiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74058.000000000000000,1166.000000000000000,Q3AH,P01,Vail Lake ceanothus,Ceanothus ophiochilus,Wherever found,Threatened,Rhamnaceae
This range has been defined at a scale of finer resolution than ""statewide"",74059.000000000000000,1168.000000000000000,Q3AK,P01,Santa Monica Mountains dudleyea,Dudleya cymosa ssp. ovatifolia,Wherever found,Threatened,Crassulaceae
This range has been defined at a scale of finer resolution than ""statewide"",74060.000000000000000,1169.000000000000000,Q3D7,P01,No common name,Eugenia woodburyana,Wherever found,Threatened,Myrtaceae
This range has been defined at a scale of finer resolution than ""statewide"",74061.000000000000000,1170.000000000000000,Q3EK,P01,Island malacothrix,Malacothrix squalida,Wherever found,Endangered,Asteraceae
This range has been defined at a scale of finer resolution than ""statewide"",74062.000000000000000,1171.000000000000000,Q3FA,P01,Yadon's piperia,Piperia yadonii,Wherever found,Endangered,Orchidaceae
This range has been defined at a scale of finer resolution than ""statewide"",74063.000000000000000,1172.000000000000000,Q3FS,P01,Canelo Hills ladies'-tresses,Spiranthes delitescens,Wherever found,Endangered,Orchidaceae
This range has been defined at a scale of finer resolution than ""statewide"",74064.000000000000000,1173.000000000000000,Q3GB,P01,big-leaved crownbeard,Verbesina dissita,Wherever found,Threatened,Asteraceae
This range has been defined at a scale of finer resolution than ""statewide"",74066.000000000000000,1175.000000000000000,Q3GJ,P01,Haha,Cyanea acuminata,Wherever found,Endangered,Campanulaceae
This range has been defined at a scale of finer resolution than ""statewide"",74067.000000000000000,1176.000000000000000,Q3GK,P01,Haha,Cyanea remyi,Wherever found,Endangered,Campanulaceae
This range has been defined at a scale of finer resolution than ""statewide"",74068.000000000000000,1177.000000000000000,Q3GL,P01,Hau kuahiwi,Hibiscadelphus woodii,Wherever found,Endangered,Malvaceae
This range has been defined at a scale of finer resolution than ""statewide"",74069.000000000000000,1178.000000000000000,Q3GM,P01,Kamakahala,Labordia tinifolia var. wahiawaensis,Wherever found,Endangered,Loganiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74070.000000000000000,1179.000000000000000,Q3GN,P01,`Akoko,Euphorbia herbstii,Wherever found,Endangered,Euphorbiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74071.000000000000000,1180.000000000000000,Q3GO,P01,`Akoko,Euphorbia rockii,Wherever found,Endangered,Euphorbiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74072.000000000000000,1181.000000000000000,Q3GP,P01,Haha,Cyanea koolauensis,Wherever found,Endangered,Campanulaceae
This range has been defined at a scale of finer resolution than ""statewide"",74073.000000000000000,1182.000000000000000,Q3GQ,P01,Haha,Cyanea longiflora,Wherever found,Endangered,Campanulaceae
This range has been defined at a scale of finer resolution than ""statewide"",74074.000000000000000,1183.000000000000000,Q3GR,P01,Nanu,Gardenia mannii,Wherever found,Endangered,Rubiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74075.000000000000000,1184.000000000000000,Q3GS,P01,No common name,Phyllostegia kaalaensis,Wherever found,Endangered,Lamiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74076.000000000000000,1185.000000000000000,Q3GV,P01,Haha,Cyanea copelandii ssp. haleakalaensis,Wherever found,Endangered,Campanulaceae
This range has been defined at a scale of finer resolution than ""statewide"",74077.000000000000000,1186.000000000000000,Q3GW,P01,Haha,Cyanea hamatiflora ssp. hamatiflora,Wherever found,Endangered,Campanulaceae
This range has been defined at a scale of finer resolution than ""statewide"",74078.000000000000000,1187.000000000000000,Q3GX,P01,Kohe malama malama o Kanaloa,Kanaloa kahoolawensis,Wherever found,Endangered,Fabaceae
This range has been defined at a scale of finer resolution than ""statewide"",74079.000000000000000,1188.000000000000000,Q3H1,P01,`Oha wai,Clermontia samuelii,Wherever found,Endangered,Campanulaceae
This range has been defined at a scale of finer resolution than ""statewide"",74080.000000000000000,1189.000000000000000,Q3HD,P01,Golden sedge,Carex lutea,Wherever found,Endangered,Cyperaceae
This range has been defined at a scale of finer resolution than ""statewide"",74081.000000000000000,1190.000000000000000,R005,P01,Santa Cruz cypress,Hesperocyparis abramsiana,Wherever found,Threatened,Cupressaceae
This range has been defined at a scale of finer resolution than ""statewide"",74082.000000000000000,1191.000000000000000,R006,P01,Florida torreya,Torreya taxifolia, ,Endangered,Taxaceae
This range has been defined at a scale of finer resolution than ""statewide"",74083.000000000000000,1192.000000000000000,R00A,P01,Gowen cypress,Cupressus goveniana ssp. goveniana,Wherever found,Threatened,Cupressaceae
This range has been defined at a scale of finer resolution than ""statewide"",74084.000000000000000,1193.000000000000000,S00M,P01,Palai la`au,Adenophorus periens,Wherever found,Endangered,Polypodiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74085.000000000000000,1194.000000000000000,S00N,P01,No common name,Asplenium peruvianum var. insulare,Wherever found,Endangered,Aspleniaceae
This range has been defined at a scale of finer resolution than ""statewide"",74086.000000000000000,1195.000000000000000,S00O,P01,American hart's-tongue fern,Asplenium scolopendrium var. americanum,Wherever found,Threatened,Aspleniaceae
This range has been defined at a scale of finer resolution than ""statewide"",74087.000000000000000,1196.000000000000000,S00P,P01,No common name,Asplenium dielerectum,Wherever found,Endangered,Aspleniaceae
This range has been defined at a scale of finer resolution than ""statewide"",74088.000000000000000,1197.000000000000000,S00Q,P01,No common name,Asplenium (=Diellia) dielfalcatum (=falcata),Wherever found,Endangered,Aspleniaceae
This range has been defined at a scale of finer resolution than ""statewide"",74089.000000000000000,1198.000000000000000,S00R,P01,No common name,Diplazium molokaiense,Wherever found,Endangered,Woosiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74090.000000000000000,1199.000000000000000,S00T,P01,Louisiana quillwort,Isoetes louisianensis,Wherever found,Endangered,Isoetaceae
This range has been defined at a scale of finer resolution than ""statewide"",74091.000000000000000,1200.000000000000000,S00U,P01,Ihi`ihi,Marsilea villosa,Wherever found,Endangered,Marsileaceae
This range has been defined at a scale of finer resolution than ""statewide"",74092.000000000000000,1201.000000000000000,S00V,P01,Aleutian shield fern,Polystichum aleuticum,Wherever found,Endangered,Dryopteridaceae
This range has been defined at a scale of finer resolution than ""statewide"",74093.000000000000000,1202.000000000000000,S00W,P01,No common name,Pteris lidgatei,Wherever found,Endangered,Adiantaceae
This range has been defined at a scale of finer resolution than ""statewide"",74094.000000000000000,1203.000000000000000,S015,P01,Black spored quillwort,Isoetes melanospora,Wherever found,Endangered,Isoetaceae
This range has been defined at a scale of finer resolution than ""statewide"",74095.000000000000000,1204.000000000000000,S019,P01,Mat-forming quillwort,Isoetes tegetiformans,Wherever found,Endangered,Isoetaceae
This range has been defined at a scale of finer resolution than ""statewide"",74096.000000000000000,1205.000000000000000,S01I,P01,Pauoa,Ctenitis squamigera,Wherever found,Endangered,Aspleniaceae
This range has been defined at a scale of finer resolution than ""statewide"",74097.000000000000000,1206.000000000000000,S01J,P01,Elfin tree fern,Cyathea dryopteroides,Wherever found,Endangered,Cyatheaceae
This range has been defined at a scale of finer resolution than ""statewide"",74098.000000000000000,1207.000000000000000,S01K,P01,Wawae`iole,Phlegmariurus mannii,Wherever found,Endangered,Lycopodiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74099.000000000000000,1208.000000000000000,S01L,P01,Wawae`iole,Phlegmariurus nutans,Wherever found,Endangered,Lycopodiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74100.000000000000000,1209.000000000000000,S01N,P01,Alabama streak-sorus fern,Thelypteris pilosa var. alabamensis,Wherever found,Threatened,Thelypteridaceae
This range has been defined at a scale of finer resolution than ""statewide"",74101.000000000000000,1210.000000000000000,S01O,P01,No common name,Adiantum vivesii,Wherever found,Original Data in Error - Not a listable entity,Adiantaceae
This range has been defined at a scale of finer resolution than ""statewide"",74102.000000000000000,1211.000000000000000,S01T,P01,No common name,Asplenium unisorum,Wherever found,Endangered,Aspleniaceae
This range has been defined at a scale of finer resolution than ""statewide"",74103.000000000000000,1212.000000000000000,S01U,P01,No common name,Elaphoglossum serpens,Wherever found,Endangered,Lomariopsidaceae
This range has been defined at a scale of finer resolution than ""statewide"",74104.000000000000000,1213.000000000000000,S01V,P01,No common name,Polystichum calderonense,Wherever found,Endangered,Dryopteridaceae
This range has been defined at a scale of finer resolution than ""statewide"",74105.000000000000000,1214.000000000000000,S01W,P01,No common name,Tectaria estremerana,Wherever found,Endangered,Dryopteridaceae
This range has been defined at a scale of finer resolution than ""statewide"",74106.000000000000000,1215.000000000000000,S01Y,P01,No common name,Thelypteris inabonensis,Wherever found,Endangered,Thelypteridaceae
This range has been defined at a scale of finer resolution than ""statewide"",74107.000000000000000,1216.000000000000000,S01Z,P01,No common name,Thelypteris verecunda,Wherever found,Endangered,Thelypteridaceae
This range has been defined at a scale of finer resolution than ""statewide"",74108.000000000000000,1217.000000000000000,S020,P01,No common name,Thelypteris yaucoensis,Wherever found,Endangered,Thelypteridaceae
This range has been defined at a scale of finer resolution than ""statewide"",74109.000000000000000,1218.000000000000000,S022,P01,No common name,Asplenium dielpallidum,Wherever found,Endangered,Aspleniaceae
This range has been defined at a scale of finer resolution than ""statewide"",74110.000000000000000,1219.000000000000000,U000,P01,Florida perforate cladonia,Cladonia perforata, ,Endangered,Cladoniaceae
This range has been defined at a scale of finer resolution than ""statewide"",74111.000000000000000,1220.000000000000000,U001,P01,Rock gnome lichen,Gymnoderma lineare,Wherever found,Endangered,Cladoniaceae
This range has been defined at a scale of finer resolution than ""statewide"",74112.000000000000000,1221.000000000000000,B00F,V01,Everglade snail kite,Rostrhamus sociabilis plumbeus,Wherever found,Endangered,Accipitridae
This range has been defined at a scale of finer resolution than ""statewide"",74113.000000000000000,1223.000000000000000,Q1U8,P01,`Akoko,Euphorbia deppeana,Wherever found,Endangered,Euphorbiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74114.000000000000000,1224.000000000000000,Q1V1,P01,haha,Cyanea crispa,Wherever found,Endangered,Campanulaceae
This range has been defined at a scale of finer resolution than ""statewide"",74115.000000000000000,1225.000000000000000,Q1YN,P01,Bradshaw''s lomatium,Lomatium bradshawii,Wherever found,Recovery,Apiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74116.000000000000000,1226.000000000000000,Q1ZH,P01,No common name,Neraudia angulata,Wherever found,Endangered,Urticaceae
This range has been defined at a scale of finer resolution than ""statewide"",74117.000000000000000,1227.000000000000000,Q208,P01,Key tree cactus,Pilosocereus robinii, ,Endangered,Cactaceae
This range has been defined at a scale of finer resolution than ""statewide"",74118.000000000000000,1228.000000000000000,Q216,P01,Knieskern's Beaked-rush,Rhynchospora knieskernii,Wherever found,Threatened,Cyperaceae
This range has been defined at a scale of finer resolution than ""statewide"",74119.000000000000000,1229.000000000000000,Q26X,P01,Deltoid spurge,Chamaesyce deltoidea ssp. deltoidea, ,Endangered,Euphorbiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74120.000000000000000,1230.000000000000000,Q28I,P01,Ha`iwale,Cyrtandra munroi,Wherever found,Endangered,Gesneriaceae
This range has been defined at a scale of finer resolution than ""statewide"",74121.000000000000000,1231.000000000000000,Q2AL,P01,Beautiful goetzea,Goetzea elegans,Wherever found,Endangered,Solanaceae
This range has been defined at a scale of finer resolution than ""statewide"",74122.000000000000000,1232.000000000000000,Q2C4,P01,Kamakahala,Labordia tinifolia var. lanaiensis,Wherever found,Endangered,Loganiaceae
This range has been defined at a scale of finer resolution than ""statewide"",74123.000000000000000,1233.000000000000000,Q2TF,P01,Willamette daisy,Erigeron decumbens,Wherever found,Endangered,Asteraceae
This range has been defined at a scale of finer resolution than ""statewide"",74124.000000000000000,1234.000000000000000,Q2WX,P01,Florida ziziphus,Ziziphus celata, ,Endangered,Rhamnaceae
This range has been defined at a scale of finer resolution than ""statewide"",74125.000000000000000,1235.000000000000000,Q31F,P01,Avon Park harebells,Crotalaria avonensis, ,Endangered,Fabaceae
This range has been defined at a scale of finer resolution than ""statewide"",74126.000000000000000,1236.000000000000000,A08I,V01,San Miguel Island Fox,Urocyon littoralis littoralis,wherever found,Recovery,Canidae
This range has been defined at a scale of finer resolution than ""statewide"",74127.000000000000000,1237.000000000000000,A08K,V01,Santa Catalina Island Fox,Urocyon littoralis catalinae,Wherever found,Threatened,Canidae
This range has been defined at a scale of finer resolution than ""statewide"",74128.000000000000000,1238.000000000000000,A08L,V01,Santa Cruz Island Fox,Urocyon littoralis santacruzae,wherever found,Recovery,Canidae
This range has been defined at a scale of finer resolution than ""statewide"",74129.000000000000000,1239.000000000000000,A08M,V01,Santa Rosa Island Fox,Urocyon littoralis santarosae,wherever found,Recovery,Canidae
This range has been defined at a scale of finer resolution than ""statewide"",74130.000000000000000,1240.000000000000000,A0GG,V01,Pygmy Rabbit,Brachylagus idahoensis,Columbia Basin DPS,Endangered,Leporidae
This range has been defined at a scale of finer resolution than ""statewide"",74131.000000000000000,1242.000000000000000,B078,V01,Mountain Plover,Charadrius montanus,Wherever found,Resolved Taxon,Charadriidae
This range has been defined at a scale of finer resolution than ""statewide"",74132.000000000000000,1243.000000000000000,C03K,V01,Flat-tailed horned lizard,Phrynosoma mcallii,Wherever found,Resolved Taxon,Iguanidae
This range has been defined at a scale of finer resolution than ""statewide"",74133.000000000000000,1245.000000000000000,G03K,I01,Pecos assiminea snail,Assiminea pecos,Wherever found,Endangered,Assimineidae
This range has been defined at a scale of finer resolution than ""statewide"",74134.000000000000000,1246.000000000000000,G03T,I01,Roswell springsnail,Pyrgulopsis roswellensis,Wherever found,Endangered,Hydrobiidae
This range has been defined at a scale of finer resolution than ""statewide"",74135.000000000000000,1247.000000000000000,G04C,I01,Koster's springsnail,Juturnia kosteri,Wherever found,Endangered,Hydrobiidae
This range has been defined at a scale of finer resolution than ""statewide"",74136.000000000000000,1248.000000000000000,I0QW,I01,Hawaiian picture-wing fly,Drosophila aglaia,Wherever found,Endangered,Drosophilidae
This range has been defined at a scale of finer resolution than ""statewide"",74137.000000000000000,1249.000000000000000,I0QZ,I01,Hawaiian picture-wing fly,Drosophila heteroneura,Wherever found,Endangered,Drosophilidae
This range has been defined at a scale of finer resolution than ""statewide"",74138.000000000000000,1250.000000000000000,I0R0,I01,Hawaiian picture-wing fly,Drosophila montgomeryi,Wherever found,Endangered,Drosophilidae
